guid,label
3083,neutral
3084,neutral
3086,positive
3087,positive
3089,negative
3090,negative
3091,positive
3096,positive
3098,neutral
3099,neutral
3100,positive
3101,negative
3102,neutral
3104,neutral
3105,neutral
3106,positive
3107,negative
3109,negative
3112,neutral
3113,neutral
3115,neutral
3116,neutral
3117,negative
3118,neutral
3119,positive
3120,negative
3121,positive
3124,positive
3125,positive
3127,negative
3128,positive
3129,neutral
3130,positive
3131,positive
3132,positive
3134,negative
3135,negative
3136,neutral
3137,neutral
3138,neutral
3139,positive
3140,neutral
3142,neutral
3143,neutral
3144,neutral
3145,neutral
3147,positive
3149,neutral
3152,positive
3153,negative
3154,negative
3155,negative
3156,positive
3157,negative
3158,positive
3159,positive
3160,neutral
3161,neutral
3163,positive
3164,negative
3165,neutral
3167,neutral
3168,positive
3170,negative
3173,neutral
3174,neutral
3175,neutral
3176,positive
3178,positive
3181,neutral
3182,positive
3183,positive
3184,neutral
3185,positive
3186,neutral
3187,positive
3189,positive
3190,positive
3191,positive
3192,negative
3195,positive
3196,neutral
3199,neutral
3200,neutral
3202,neutral
3203,negative
3205,negative
3206,positive
3207,neutral
3208,positive
3210,neutral
3212,neutral
3214,positive
3215,neutral
3217,neutral
3218,positive
3219,positive
3221,negative
3222,negative
3223,neutral
3224,positive
3227,neutral
3228,positive
3232,positive
3233,neutral
3234,positive
3235,positive
3237,positive
3239,positive
3240,neutral
3241,positive
3243,positive
3244,positive
3245,negative
3246,neutral
3247,neutral
3248,negative
3249,positive
3250,neutral
3251,negative
3252,neutral
3253,neutral
3254,neutral
3256,positive
3257,positive
3259,positive
3262,positive
3265,neutral
3266,positive
3267,neutral
3268,positive
3271,negative
3273,neutral
3274,negative
3275,neutral
3279,positive
3281,positive
3282,neutral
3283,negative
3284,neutral
3285,positive
3286,positive
3287,neutral
3288,positive
3289,neutral
3291,positive
3292,neutral
3293,neutral
3294,neutral
3295,neutral
3296,negative
3300,neutral
3303,positive
3305,positive
3307,positive
3308,neutral
3309,positive
3311,positive
3313,negative
3314,neutral
3317,neutral
3320,positive
3322,neutral
3323,positive
3326,neutral
3327,neutral
3329,neutral
3330,neutral
3332,positive
3333,positive
3334,neutral
3335,neutral
3337,positive
3338,positive
3339,positive
3341,negative
3342,positive
3343,positive
3345,neutral
3347,positive
3348,neutral
3349,neutral
3350,neutral
3352,positive
3353,neutral
3354,positive
3355,negative
3356,positive
3357,positive
3359,positive
3362,neutral
3363,positive
3364,positive
3366,negative
3367,positive
3368,neutral
3369,neutral
3370,neutral
3371,neutral
3374,neutral
3375,neutral
3377,positive
3379,neutral
3380,negative
3382,neutral
3383,neutral
3384,neutral
3385,positive
3387,neutral
3391,negative
3392,positive
3393,negative
3394,positive
3395,neutral
3398,neutral
3401,positive
3402,negative
3403,positive
3404,positive
3411,negative
3412,positive
3413,positive
3414,neutral
3415,neutral
3417,neutral
3418,neutral
3419,neutral
3420,neutral
3421,positive
3423,neutral
3424,neutral
3426,negative
3427,positive
3429,neutral
3430,neutral
3431,neutral
3432,neutral
3434,positive
3435,negative
3439,neutral
3440,neutral
3441,positive
3442,positive
3443,positive
3444,neutral
3447,neutral
3448,positive
3450,positive
3452,positive
3455,negative
3456,negative
3457,negative
3460,negative
3461,positive
3462,negative
3464,neutral
3465,neutral
3466,positive
3470,neutral
3471,positive
3473,negative
3474,neutral
3475,positive
3478,positive
3479,positive
3480,positive
3481,neutral
3482,negative
3483,neutral
3484,neutral
3485,negative
3488,negative
3489,positive
3491,positive
3494,negative
3496,positive
3497,positive
3499,negative
3501,neutral
3504,positive
3505,neutral
3507,neutral
3510,positive
3513,neutral
3514,neutral
3516,neutral
3520,neutral
3523,neutral
3526,negative
3527,positive
3529,neutral
3530,positive
3531,positive
3532,neutral
3533,positive
3536,positive
3538,neutral
3539,negative
3540,neutral
3544,neutral
3545,positive
3547,positive
3548,positive
3551,positive
3552,neutral
3553,negative
3556,neutral
3559,negative
3561,neutral
3562,neutral
3563,neutral
3564,neutral
3566,negative
3567,positive
3569,negative
3570,neutral
3571,positive
3572,neutral
3573,neutral
3575,positive
3578,neutral
3579,neutral
3580,neutral
3586,positive
3587,neutral
3588,positive
3589,positive
3591,negative
3592,neutral
3593,negative
3596,neutral
3597,neutral
3598,positive
3599,positive
3600,positive
3603,negative
3604,neutral
3605,neutral
3606,negative
3607,neutral
3612,neutral
3613,negative
3615,negative
3616,neutral
3617,positive
3618,positive
3619,positive
3620,negative
3622,neutral
3623,neutral
3625,positive
3627,positive
3628,negative
3629,neutral
3634,negative
3635,positive
3636,neutral
3637,positive
3638,neutral
3639,neutral
3643,positive
3645,positive
3646,neutral
3647,positive
3649,positive
3650,neutral
3653,negative
3655,neutral
3656,positive
3658,positive
3659,positive
3660,positive
3661,positive
3662,positive
3664,neutral
3665,neutral
3666,neutral
3667,positive
3669,neutral
3670,positive
3672,neutral
3674,negative
3675,neutral
3676,neutral
3677,positive
3678,neutral
3679,neutral
3680,neutral
3681,neutral
3683,positive
3684,neutral
3685,positive
3686,positive
3687,neutral
3688,positive
3690,neutral
3694,positive
3697,positive
3701,negative
3703,positive
3704,neutral
3705,neutral
3706,neutral
3707,neutral
3709,positive
3711,negative
3712,positive
3714,neutral
3718,neutral
3719,positive
3720,neutral
3721,neutral
3723,neutral
3724,neutral
3727,positive
3729,positive
3731,positive
3732,positive
3735,neutral
3736,negative
3738,negative
3739,negative
3740,neutral
3744,neutral
3745,positive
3746,positive
3747,neutral
3748,neutral
3749,neutral
3750,positive
3751,neutral
3752,neutral
3753,negative
3754,negative
3756,positive
3758,neutral
3761,positive
3762,positive
3763,neutral
3765,positive
3767,positive
3768,neutral
3770,positive
3771,neutral
3773,neutral
3774,neutral
3777,positive
3778,positive
3779,neutral
3780,positive
3781,neutral
3783,positive
3784,neutral
3785,positive
3786,positive
3787,positive
3789,positive
3791,positive
3794,positive
3795,positive
3796,positive
3798,positive
3799,neutral
3801,neutral
3802,neutral
3803,positive
3804,neutral
3806,neutral
3807,neutral
3808,neutral
3809,neutral
3811,positive
3812,neutral
3813,neutral
3816,positive
3817,positive
3818,positive
3820,neutral
3821,neutral
3825,neutral
3826,positive
3828,positive
3830,neutral
3831,neutral
3833,neutral
3835,neutral
3836,neutral
3839,positive
3840,positive
3841,neutral
3847,positive
3848,positive
3849,neutral
3850,positive
3851,positive
3854,positive
3856,positive
3857,positive
3858,positive
3860,neutral
3862,positive
3864,positive
3865,positive
3867,neutral
3871,neutral
3874,positive
3875,positive
3878,neutral
3879,positive
3880,positive
3881,neutral
3882,neutral
3883,positive
3885,positive
3888,positive
3890,positive
3892,positive
3893,positive
3894,neutral
3895,neutral
3896,neutral
3898,positive
3901,negative
3902,positive
3903,positive
3906,positive
3909,positive
3911,neutral
3912,neutral
3914,positive
3915,positive
3916,neutral
3917,positive
3918,negative
3921,neutral
3922,positive
3924,neutral
3925,neutral
3928,neutral
3930,positive
3931,positive
3932,positive
3933,positive
3934,positive
3935,neutral
3936,neutral
3937,positive
3938,positive
3939,positive
3940,neutral
3943,positive
3946,positive
3947,neutral
3951,neutral
3953,neutral
3954,neutral
3956,neutral
3957,positive
3958,neutral
3959,positive
3960,neutral
3961,neutral
3962,positive
3964,positive
3965,neutral
3968,positive
3970,positive
3973,positive
3976,positive
3977,positive
3979,neutral
3981,positive
3982,positive
3983,positive
3984,positive
3985,neutral
3987,neutral
3988,negative
3990,positive
3991,positive
3993,neutral
3994,positive
3996,neutral
3997,neutral
3998,neutral
3999,neutral
4000,positive
4002,neutral
4003,positive
4004,neutral
4005,neutral
4007,neutral
4008,neutral
4009,neutral
4011,positive
4012,positive
4013,positive
4014,positive
4016,neutral
4019,positive
4020,neutral
4021,positive
4023,positive
4024,positive
4027,positive
4029,positive
4030,positive
4032,neutral
4034,positive
4036,positive
4037,neutral
4040,positive
4041,positive
4044,positive
4046,positive
4047,positive
4048,positive
4049,neutral
4052,positive
4053,positive
4054,positive
4055,positive
4056,neutral
4058,neutral
4059,positive
4061,positive
4062,neutral
4063,positive
4064,neutral
4065,positive
4066,positive
4067,positive
4068,positive
4070,negative
4074,positive
4075,positive
4076,positive
4077,positive
4078,positive
4079,positive
4082,neutral
4083,positive
4084,neutral
4085,positive
4086,positive
4089,positive
4090,positive
4092,neutral
4093,positive
4094,neutral
4095,positive
4097,neutral
4098,positive
4099,positive
4102,positive
4103,positive
4105,neutral
4108,positive
4111,neutral
4112,positive
4113,positive
4114,positive
4115,neutral
4118,positive
4119,neutral
4122,positive
4124,positive
4125,positive
4126,neutral
4127,positive
4130,positive
4131,neutral
4132,neutral
4134,neutral
4136,neutral
4137,neutral
4138,positive
4139,neutral
4140,neutral
4141,positive
4144,positive
4146,positive
4147,positive
4148,positive
4150,neutral
4152,positive
4153,positive
4155,positive
4157,neutral
4158,neutral
4160,neutral
4162,positive
4165,positive
4166,neutral
4167,positive
4169,neutral
4170,positive
4173,positive
4174,neutral
4175,neutral
4177,negative
4180,positive
4181,positive
4182,positive
4183,positive
4185,positive
4186,positive
4187,positive
4188,positive
4194,neutral
4195,positive
4196,positive
4198,positive
4199,neutral
4200,neutral
4204,neutral
4205,neutral
4206,neutral
4208,positive
4210,neutral
4211,positive
4212,positive
4213,positive
4214,positive
4215,positive
4216,positive
4217,positive
4219,neutral
4222,positive
4224,neutral
4228,positive
4229,positive
4232,positive
4233,positive
4236,neutral
4237,positive
4239,neutral
4240,positive
4242,positive
4243,positive
4245,positive
4246,neutral
4247,positive
4248,neutral
4249,neutral
4250,positive
4251,positive
4252,neutral
4253,neutral
4254,neutral
4260,positive
4264,positive
4265,positive
4266,positive
4267,positive
4269,positive
4272,positive
4274,neutral
4277,positive
4282,positive
4284,positive
4292,positive
4293,positive
4295,positive
4301,neutral
4302,neutral
4303,neutral
4304,positive
4306,positive
4309,positive
4313,positive
4317,neutral
4318,positive
4322,neutral
4325,positive
4327,positive
4330,positive
4331,neutral
4334,neutral
4336,neutral
4338,positive
4341,positive
4342,positive
4346,neutral
4356,positive
4358,neutral
4363,positive
4368,positive
4369,positive
4371,positive
4374,neutral
4378,neutral
4379,neutral
4384,positive
4385,positive
4387,positive
4388,positive
4391,positive
4393,neutral
4395,positive
4401,positive
4404,neutral
4406,positive
4407,neutral
4408,neutral
4413,positive
4418,positive
4422,positive
4428,neutral
4441,neutral
4442,positive
4443,neutral
4444,positive
4445,neutral
4447,neutral
4448,positive
4449,neutral
4453,neutral
4454,neutral
4457,neutral
4458,neutral
4462,neutral
4471,positive
4478,positive
4484,positive
4487,positive
4488,positive
4489,positive
4491,positive
4495,positive
4496,positive
4501,positive
4502,neutral
4503,positive
4504,neutral
4505,positive
4513,positive
4517,positive
4518,positive
4519,positive
4523,positive
4528,neutral
4531,positive
4532,neutral
4535,neutral
4538,positive
4539,neutral
4541,positive
4542,neutral
4545,neutral
4548,positive
4550,positive
4554,positive
4555,positive
4557,neutral
4558,positive
4560,neutral
4562,positive
4563,neutral
4564,positive
4571,positive
4579,positive
4581,neutral
4582,positive
4590,positive
4591,positive
4592,neutral
4596,neutral
4600,neutral
4607,positive
4610,positive
4611,neutral
4612,positive
4613,positive
4614,positive
4615,positive
4616,positive
4617,neutral
4618,positive
4619,neutral
4620,neutral
4621,positive
4622,positive
4623,positive
4624,neutral
4626,positive
4627,neutral
4628,positive
4629,neutral
4630,positive
4632,neutral
4634,positive
4635,positive
4637,neutral
4641,neutral
4642,positive
4645,positive
4646,positive
4647,positive
4650,positive
4652,positive
4653,neutral
4654,positive
4656,neutral
4657,positive
4658,positive
4659,positive
4660,neutral
4661,positive
4663,neutral
4665,neutral
4666,positive
4668,positive
4669,positive
4670,positive
4671,positive
4672,neutral
4675,positive
4676,positive
4677,positive
4679,positive
4681,negative
4682,positive
4683,neutral
4684,positive
4685,positive
4687,neutral
4688,positive
4689,positive
4690,positive
4691,positive
4692,positive
4693,positive
4694,neutral
4695,positive
4697,positive
4698,positive
4699,positive
4702,positive
4704,positive
4705,neutral
4706,neutral
4707,neutral
4709,positive
4710,positive
4712,positive
4714,positive
4715,positive
4716,positive
4717,neutral
4718,neutral
4719,positive
4721,positive
4722,positive
4725,neutral
4726,neutral
4728,positive
4730,neutral
4731,positive
4732,positive
4734,positive
4736,positive
4737,neutral
4738,positive
4739,neutral
4740,positive
4741,positive
4743,positive
4744,positive
4746,neutral
4747,positive
4748,positive
4750,neutral
4752,positive
4753,positive
4754,neutral
4755,positive
4757,positive
4758,positive
4759,positive
4760,neutral
4761,positive
4762,positive
4764,positive
4765,positive
4766,neutral
4767,positive
4768,positive
4769,positive
4770,neutral
4773,positive
4774,neutral
4775,positive
4776,neutral
4779,negative
4780,positive
4781,positive
4782,positive
4783,positive
4784,neutral
4785,positive
4786,positive
4787,positive
4788,positive
4789,positive
4790,neutral
4792,neutral
4794,positive
4795,positive
4796,neutral
4797,negative
4798,neutral
4799,positive
4800,positive
4801,neutral
4802,positive
4803,positive
4804,neutral
4805,positive
4807,positive
4809,positive
4811,neutral
4812,positive
4814,neutral
4815,positive
4817,neutral
4818,positive
4819,neutral
4820,positive
4822,positive
4823,positive
4824,neutral
4825,positive
4826,negative
4827,positive
4828,positive
4829,positive
4830,neutral
4832,positive
4833,positive
4835,positive
4836,negative
4837,positive
4838,positive
4841,positive
4842,neutral
4843,neutral
4846,positive
4847,neutral
4848,positive
4853,positive
4854,positive
4855,positive
4858,positive
4859,positive
4861,neutral
4863,positive
4864,positive
4865,positive
4867,neutral
4868,neutral
4869,positive
4870,positive
4871,neutral
4872,neutral
4873,positive
4874,positive
4875,neutral
4876,positive
4877,positive
4881,positive
4882,neutral
4884,positive
4885,neutral
4886,positive
4887,positive
4888,neutral
4890,positive
4891,positive
4892,positive
4893,neutral
4894,positive
4895,positive
4896,positive
4898,neutral
4901,positive
4902,positive
4903,neutral
4904,positive
4905,neutral
4906,positive
4908,neutral
4909,positive
4910,positive
4911,neutral
4913,positive
4915,positive
4916,positive
4917,positive
4919,positive
4920,positive
4921,negative
4922,positive
4923,neutral
4924,neutral
4925,neutral
4927,positive
4929,positive
4930,positive
4931,neutral
4932,positive
4933,neutral
4935,positive
4936,positive
4937,neutral
4938,positive
4940,neutral
4943,positive
4944,positive
4945,positive
4946,neutral
4947,neutral
4948,neutral
4949,positive
4950,positive
4951,positive
4952,positive
4954,positive
4955,neutral
4956,positive
4957,neutral
4958,positive
4959,neutral
4960,neutral
4962,neutral
4963,positive
4965,neutral
4966,positive
4967,positive
4968,positive
4969,negative
4970,positive
4971,neutral
4972,positive
4974,positive
4977,neutral
4980,negative
4981,positive
4982,positive
4984,positive
4985,positive
4986,positive
4987,positive
4988,positive
4989,neutral
4990,positive
4991,positive
4993,positive
4995,positive
4996,positive
4997,positive
4998,positive
4999,positive
5000,neutral
5001,positive
5002,positive
5003,positive
5005,neutral
5006,positive
5007,neutral
5008,positive
5009,positive
5010,positive
5012,positive
5014,positive
5015,positive
5016,positive
5017,neutral
5018,positive
5019,neutral
5020,positive
5022,neutral
5024,neutral
5025,positive
5026,positive
5027,positive
5028,positive
5031,positive
5032,positive
5033,neutral
5034,positive
5036,neutral
5037,neutral
5038,neutral
5040,positive
5043,positive
5044,positive
5045,positive
5046,positive
5048,neutral
5049,positive
5051,neutral
5052,positive
5054,positive
5055,positive
5056,positive
5057,positive
5058,positive
5059,positive
5060,positive
5062,neutral
5063,neutral
5064,positive
5065,positive
5067,positive
5068,positive
5071,positive
5074,neutral
5075,positive
5078,positive
5079,neutral
5080,positive
5082,positive
5084,positive
5085,positive
5086,positive
5088,positive
5089,positive
5090,neutral
5091,positive
5092,positive
5093,positive
5095,neutral
5096,positive
5097,neutral
5098,neutral
5099,positive
5101,positive
5102,positive
5103,positive
5105,positive
5106,positive
5107,neutral
5109,positive
5110,positive
5111,positive
5112,negative
5113,positive
5115,positive
5116,positive
5117,neutral
5118,positive
5121,neutral
5122,neutral
5124,positive
5126,negative
5127,neutral
5128,positive
5129,positive
5130,neutral
5131,neutral
5132,neutral
5133,neutral
5134,positive
5135,positive
5136,positive
5138,neutral
5141,neutral
5142,positive
5143,neutral
5144,neutral
5146,positive
5147,positive
5148,positive
5149,positive
5150,positive
5151,positive
5152,neutral
5154,positive
5155,neutral
5156,positive
5157,neutral
5158,positive
5159,neutral
5160,positive
5162,positive
5164,positive
5165,positive
5166,positive
5167,positive
5168,neutral
5170,neutral
5172,neutral
5173,positive
5174,neutral
5176,positive
5177,positive
5178,neutral
5179,neutral
5180,positive
5182,positive
5183,positive
5184,neutral
5186,positive
5187,neutral
5188,positive
5189,positive
5190,neutral
5191,neutral
5192,positive
5194,positive
5196,positive
5197,neutral
5198,neutral
5200,positive
5202,positive
5203,neutral
5204,neutral
5205,positive
5206,positive
5208,positive
5209,positive
5210,positive
5212,positive
5213,negative
5216,positive
5217,positive
5218,neutral
5219,positive
5220,positive
5223,positive
5225,neutral
5226,positive
5228,neutral
5230,positive
5231,positive
5232,positive
5234,positive
5235,positive
5236,positive
5237,neutral
5239,positive
5243,neutral
5244,positive
5245,positive
5246,neutral
5248,positive
5249,positive
5253,positive
5254,positive
5255,neutral
5256,positive
5257,positive
5258,positive
5260,positive
5261,positive
5263,neutral
5265,positive
5266,positive
5268,neutral
5269,neutral
5272,positive
5273,positive
5274,neutral
5276,neutral
5277,positive
5278,neutral
5279,positive
5281,positive
5282,neutral
5283,positive
5285,positive
5286,neutral
5287,neutral
5288,positive
5289,neutral
5290,neutral
5291,positive
5292,positive
5293,positive
5295,neutral
5297,positive
5299,positive
5300,neutral
5301,neutral
5302,positive
5304,neutral
5305,positive
5307,neutral
5308,positive
5309,neutral
5310,neutral
5311,positive
5313,negative
5316,positive
5317,positive
5318,negative
5319,positive
5324,neutral
5325,neutral
5326,neutral
5329,positive
5330,neutral
5331,positive
5332,positive
5333,positive
5334,positive
5335,positive
5336,positive
5337,positive
5338,positive
5340,positive
5341,neutral
5343,positive
5346,neutral
5347,positive
5349,neutral
5351,positive
5352,positive
5353,positive
5354,positive
5355,neutral
5356,positive
5358,neutral
5360,positive
5361,neutral
5362,positive
5363,positive
5365,positive
5366,positive
5367,positive
5369,positive
5370,positive
5372,positive
5373,neutral
5374,negative
5376,neutral
5380,neutral
5383,positive
5385,positive
5387,positive
5390,positive
5391,positive
5392,neutral
5393,positive
5394,positive
5395,neutral
5396,positive
5397,positive
5398,positive
5399,neutral
5400,positive
5401,positive
5402,positive
5404,positive
5407,positive
5408,neutral
5410,neutral
5411,positive
5412,neutral
5413,positive
5414,negative
5415,neutral
5416,positive
5417,positive
5418,neutral
5419,positive
5420,positive
5421,positive
5423,neutral
5424,neutral
5425,positive
5426,neutral
5428,neutral
5429,positive
5430,positive
5431,positive
5432,neutral
5433,neutral
5434,positive
5435,positive
5437,neutral
5438,positive
5439,positive
5440,positive
5441,neutral
5442,positive
5444,positive
5445,positive
5446,positive
5447,positive
5448,neutral
5449,positive
5451,positive
5453,positive
5454,neutral
5455,neutral
5456,positive
5457,neutral
5459,neutral
5460,neutral
5461,positive
5462,positive
5463,positive
5464,positive
5465,positive
5466,positive
5467,positive
5468,positive
5469,positive
5471,neutral
5473,neutral
5474,positive
5475,positive
5476,positive
5477,positive
5478,positive
5479,neutral
5480,neutral
5481,neutral
5482,neutral
5484,positive
5486,positive
5487,positive
5488,positive
5490,positive
5491,positive
5492,neutral
5493,positive
5494,positive
5495,positive
5497,neutral
5499,neutral
5501,positive
5502,positive
5503,neutral
5504,positive
5505,neutral
5507,positive
5509,positive
5510,positive
5511,neutral
5512,positive
5513,neutral
5514,positive
5515,positive
5516,positive
5517,positive
5518,positive
5519,positive
5520,positive
5522,positive
5523,positive
5524,positive
5525,positive
5526,positive
5527,negative
5528,positive
5529,positive
5530,neutral
5532,positive
5533,positive
5534,neutral
5535,neutral
5536,negative
5538,positive
5540,neutral
5542,positive
5543,positive
5544,neutral
5545,positive
5546,positive
5547,neutral
5548,neutral
5549,neutral
5551,neutral
5552,positive
5554,positive
5555,neutral
5556,positive
5558,positive
5559,positive
5560,positive
5562,positive
5563,neutral
5565,positive
5566,positive
5567,positive
5568,positive
5572,positive
5573,positive
5574,positive
5575,positive
5576,neutral
5577,negative
5578,neutral
5579,neutral
5580,positive
5581,positive
5582,positive
5583,neutral
5584,neutral
5585,positive
5586,positive
5587,positive
5589,neutral
5592,positive
5593,positive
5594,neutral
5595,positive
5596,positive
5598,positive
5600,positive
5601,neutral
5602,neutral
5604,neutral
5605,positive
5606,positive
5607,neutral
5609,positive
5610,positive
5612,positive
5613,positive
5615,positive
5618,positive
5619,positive
5620,positive
5621,positive
5622,neutral
5624,negative
5625,positive
5626,neutral
5627,positive
5629,positive
5630,positive
5631,neutral
5632,positive
5633,positive
5634,negative
5635,positive
5636,positive
5637,positive
5640,neutral
5642,positive
5643,neutral
5644,positive
5645,positive
5646,positive
5647,positive
5648,positive
5649,positive
5651,positive
5652,positive
5653,positive
5654,neutral
5655,neutral
5657,positive
5660,neutral
5661,neutral
5662,positive
5663,positive
5664,positive
5666,neutral
5667,positive
5668,positive
5670,positive
5672,positive
5674,positive
5675,neutral
5676,positive
5677,positive
5678,positive
5679,positive
5681,positive
5682,negative
5684,positive
5686,positive
5687,negative
5688,positive
5689,positive
5691,positive
5692,positive
5693,positive
5695,positive
5696,positive
5697,positive
5699,positive
5702,neutral
5704,neutral
5705,neutral
5706,neutral
5707,positive
5708,neutral
5709,positive
5711,positive
5713,positive
5714,positive
5715,positive
5717,positive
5720,positive
5721,neutral
5722,positive
5724,positive
5727,positive
5729,positive
5731,positive
5733,neutral
5734,neutral
5735,negative
5736,positive
5737,positive
5739,neutral
5740,neutral
5742,neutral
5743,positive
5744,positive
5745,neutral
5747,positive
5748,positive
5749,positive
5750,positive
5751,positive
5752,neutral
5753,positive
5754,positive
5758,positive
5759,positive
5762,positive
5763,positive
5764,positive
5765,neutral
5767,positive
5768,positive
5769,neutral
5771,positive
5772,neutral
5773,positive
5774,neutral
5776,positive
5777,positive
5778,neutral
5779,positive
5780,positive
5781,positive
5783,neutral
5785,positive
5787,positive
5788,positive
5789,positive
5790,positive
5791,positive
5792,positive
5793,neutral
5794,neutral
5795,positive
5796,positive
5797,positive
5800,positive
5801,positive
5802,positive
5803,positive
5804,positive
5805,positive
5806,neutral
5807,positive
5808,positive
5809,positive
5810,positive
5811,positive
5812,positive
5813,positive
5814,positive
5816,positive
5817,positive
5819,positive
5820,positive
5821,positive
5823,positive
5824,positive
5826,positive
5827,neutral
5828,neutral
5829,neutral
5830,neutral
5831,positive
5833,positive
5834,neutral
5835,positive
5836,positive
5837,positive
5838,neutral
5839,neutral
5840,neutral
5842,positive
5843,positive
5844,positive
5845,neutral
5847,positive
5849,positive
5850,neutral
5851,positive
5852,neutral
5853,positive
5855,positive
5857,positive
